target,frequency,num_of_docs_occured
Chic,225767,125967
Queen,157648,82393
New York City,113190,90119
Cher,85886,44734
Dio,67672,32161
Madonna,42537,17613
Metallica,35035,15878
Led Zeppelin,26653,14794
David Bowie,25109,15230
Eminem,21678,9924
Sting,21369,10792
Johnny Cash,20715,10672
The Rolling Stones,20359,10937
Miles Davis,19131,12541
Iron Maiden,17692,9186
Black Sabbath,17466,10679
Willie Nelson,17398,9029
Slayer,17075,8714
Neil Young,16856,10070
The Beach Boys,16509,6323
Saxon,15731,7421
Bon Jovi,15671,6800
Britney Spears,14908,8656
Megadeth,14632,6475
Mariah Carey,13671,7203
Hank Williams,13020,7624
Judas Priest,11504,5868
Dolly Parton,11285,6437
Bob Marley,11134,6886
ABBA,10783,5489
Billy Joel,10782,5235
Odyssey,10694,6069
Ozzy Osbourne,10391,6146
Christina Aguilera,9961,5725
Barbra Streisand,9463,5133
Blondie,9361,4832
Survivor,9221,4825
Bee Gees,9124,4866
Janet Jackson,9057,5034
Dr. Dre,8877,5397
50 Cent,8599,4881
Anthrax,8499,3854
Public Enemy,7898,4112
John Lee Hooker,7725,3687
Jethro Tull,7546,3584
Scorpions,7366,3073
Waylon Jennings,7266,3656
Beastie Boys,7242,4388
George Jones,7202,4085
Accept,7153,3702
Kate Bush,7105,3781
Motörhead,6754,3445
Danzig,6735,3237
Lauryn Hill,6631,2729
Jerry Lee Lewis,6236,3609
AC/DC,5851,2598
Shania Twain,5720,2479
Ice Cube,5719,3451
Alanis Morissette,5705,2956
Donna Summer,5687,3397
Vince Gill,5620,2987
Sarah Vaughan,5593,3216
Busta Rhymes,5568,3586
Jennifer Lopez,5547,3360
2Pac,5321,2449
Kenny Rogers,5291,3020
Wu-Tang Clan,5277,3533
Gregory Isaacs,5173,1659
Spice Girls,5167,2922
Loretta Lynn,5160,2746
Def Leppard,5005,3100
Reba McEntire,4968,2461
George Strait,4955,2286
Pras,4810,3153
Robert Johnson,4801,3460
Lionel Hampton,4744,3068
Destiny's Child,4733,1779
Dexter Gordon,4729,2219
Garth Brooks,4662,2555
Dennis Brown,4546,1516
Guns N' Roses,4533,1942
Aaliyah,4523,2255
Ani DiFranco,4412,1577
Cypress Hill,4407,2298
Simple Minds,4346,2227
The Stone Roses,4320,1724
Coleman Hawkins,4061,2467
The Prodigy,4052,2147
The Supremes,4022,2435
